Text,entities,entity_types,Combined
"A computer terminal is an electronic or electromechanical hardware device that can be used for entering data into , and transcribing data from , a computer or a computing system .","['computer terminal', 'hardware']","['General_Concept', 'Architecture']",['computer terminal']
"They used SONOS ( polysilicon-oxynitride-nitride-oxide-silicon ) structure with thickness of silicon dioxide less than 30 Å , and SIMOS ( stacked-gate injection MOS ) structure , respectively , for using Fowler-Nordheim tunnelling hot-carrier injection .",['MOS'],['Architecture'],"['M', 'Fowler - Nordheim tunnelling']"
It is an unavoidable characteristic of the von Neumann architecture that is founded on shared random access memory and trust in the sharing default access rights .,['von Neumann architecture'],['Architecture'],"['von Neumann architecture', 'von Neumann architecture', 'random']"
"LingCloud is a suite of open-source cloud computing system software developed by Institute of Computing Technology , Chinese Academy of Sciences .","['LingCloud', 'open-source', 'cloud computing']","['General_Concept', 'Application', 'Architecture']","['LingCloud', 'LingCloud', 'open source', 'cloud computing', 'system software']"
"In the macOS , iOS , NeXTSTEP , and GNUstep programming frameworks , property list files are files that store serialized objects .","['macOS', 'iOS', 'NeXTSTEP', 'GNUstep', 'frameworks', 'serialized objects']","['Application', 'Operating_System', 'Application', 'Application', 'Architecture', 'Application']","['macOS', 'iOS', 'NeXTSTEP', 'GNUstep', 'macOS', 'iOS', 'NeXTSTEP', 'GNUstep', 'framework', 'serialized objects']"
"Generally considered to be the first successful supercomputer , it outperformed the industry 's prior recordholder , the IBM 7030 Stretch , by a factor of three .","['supercomputer', 'IBM 7030 Stretch']","['Architecture', 'Device']","['supercomputer', 'IBM 7030 Stretch']"
"Objective-C is a high-level general-purpose , object-oriented programming language that adds Smalltalk-style messaging to the C programming language .","['Objective-C', 'high-level', 'general-purpose', 'object-oriented programming language', 'messaging', 'C programming language']","['Language', 'Language', 'Language', 'Language', 'Architecture', 'Language']","['Objective-C', 'C programming language', 'Objective - C', 'object - oriented programming language', 'C programming language']"
"If we have an input , an output , and a weighting pattern then a realization is any triple of matrices such that where is the state-transition matrix associated with the realization .","['realization', 'matrices', 'realization']","['Application', 'Architecture', 'Application']","['weight', 'matrix']"
The volume of fibre optics cabling is considerably reduced .,['fibre optics'],['Architecture'],['fibre optics']
"The master sends a bit on the MOSI line and the slave reads it , while the slave sends a bit on the MISO line and the master reads it .","['MOSI', 'MISO']","['Architecture', 'Architecture']","['MOSI', 'MISO']"
"Colony aims to eliminate the complexity typically associated with the creation of modular applications , through a simplified unified model for component development .",['modular'],['Architecture'],['modular']
"The H . W . Wilson Company was founded in 1898 by Halsey William Wilson , a student working his way through the University of Minnesota in Minneapolis , Minnesota .",['The H . W . Wilson Company'],['Architecture'],['H W . Wilson Company']
"It is sometimes also known as a private circuit , and as a data line in the UK .","['private circuit', 'data line']","['Architecture', 'Architecture']","['private circuit', 'data line']"
"Contributors to the document have included Drexel University , Cougaar Software , ( see also : CoABS ) , ( see also : Soar ) , Penn State University , University of Southern California , University of South Carolina , the Florida Institute for Human and Machine Cognition , University of West Florida , BBN Technologies , Telcordia , Lockheed Martin , General Dynamics and others .","['Cougaar Software', 'Soar']","['Language', 'Architecture']",['Soar']
It uses computations modulo where is an RSA modulus and a ( positive ) natural number .,['RSA'],['Architecture'],['RSA']
"Most general-purpose microprocessors can also execute digital signal processing algorithms successfully , but may not be able to keep up with such processing continuously in real-time .","['microprocessors', 'digital signal processing']","['Architecture', 'General_Concept']","['microprocessors', 'digital signal processing']"
"Amlogic S805 A low cost SoC similar to M805 with quad-core ARM Cortex A5-based SoC with Mali-450 MP2 GPU running at 500MHz , with hardware support for HEVC/H.265 decoding up to 1080p .","['Amlogic', 'SoC', 'SoC', 'GPU']","['Architecture', 'Architecture', 'Architecture', 'Architecture']","['ARM Cortex A5-based', 'SoC', 'quad core', 'SoC', 'Mali', 'GPU', 'H 265']"
single system image ( SSI ) clustering as low-cost multi-core processors increase in availability .,"['single system image', 'multi-core processors']","['Operating_System', 'Architecture']","['single system image', 'cluster', 'multi - core processors']"
"The ICL 2900 Series was a range of mainframe computer systems announced by the British manufacturer ICL on 9 October 1974 . In marketing terms , the 2900 Series was superseded by Series 39 in the mid-1980s ; however , Series 39 was essentially a new set of machines implementing the 2900 Series architecture , as were subsequent ICL machines branded "" Trimetra "" . These included enhancements to either ICT 's 1900 Series or the English Electric System 4 , The design of Burroughs mainframes was influential , although ICL rejected the concept of optimising the design for one high-level language .","['mainframe computer', 'Series 39', 'Series 39', '1900 Series', 'English Electric System 4', 'mainframes']","['Architecture', 'Device', 'Device', 'Device', 'Device', 'Architecture']","['2900 Series architecture', 'mainframe computer', 'Series 39', 'Series 39', '1900 Series', 'English Electric System 4', 'mainframes']"
"With SASE , SD-WAN is combined with other network and security technologies including Cloud Access Security Broker ( CASB ) , Secure Web Gateway , Data Loss Prevention ( DLP ) , Firewall , and other capabilities to connect and protect users and applications .","['SD-WAN', 'Cloud Access Security Broker', 'Secure Web Gateway', 'Data Loss Prevention']","['Architecture', 'Application', 'Protocol', 'Application']","['SD - WAN', 'Firewall']"
"Above about 400Hz the driver cones themselves become directional , again violating the theory ’s assumptions , and at high frequencies , many practical systems use directional waveguides whose behavior cannot be described using classical line array theory .",['line array'],['Architecture'],['line array theory']
"Allow direct sending and receiving of IP packets without any protocol-specific transport layer formatting . With other types of sockets , the payload is automatically encapsulated according to the chosen transport layer protocol ( e.g.","['IP', 'packets', 'transport layer', 'encapsulated', 'transport layer']","['Protocol', 'Protocol', 'Architecture', 'Protocol', 'Architecture']","['IP', 'transport layer protocol', 'packets', 'transport layer', 'transport layer']"
"IDA ICE supports IFC BIM models generated by tools such as ArchiCAD , Revit , MagiCAD , and others .","['IFC', 'BIM', 'ArchiCAD', 'Revit']","['Application', 'Architecture', 'Application', 'Application']","['ArchiCAD', 'Revit', 'MagiCAD', 'BIM', 'BIMCADCAD']"
An alternative to cards was Punched tape .,['cards'],['Architecture'],['cards']
It expands cloud computing past the confines of formal commercial data centers operated by cloud providers to include anyone interested in participating within the cloud services sharing economy .,"['cloud computing', 'cloud services']","['Architecture', 'Architecture']","['cloud computing', 'cloud providers', 'cloud services']"
"Mobile processors based on the P6 microarchitecture were marketed as Pentium II , Pentium III , Pentium M and Pentium Dual-Core , as well as variations of these names .","['P6 microarchitecture', 'Pentium II', 'Pentium III', 'Pentium M', 'Pentium Dual-Core']","['Device', 'General_Concept', 'General_Concept', 'Architecture', 'Device']","['P6 microarchitecture', 'P6 microarchiture', 'Pentium II', 'Pentium III', 'Pentium M', 'Pentium Dual - Core']"
This was done by preinstalling the Apple IIGS Memory Expansion Card ( that was once sold separately ) in the memory expansion slot — the card had 256KB of RAM on board with empty sockets for further expansion .,['RAM'],['Architecture'],['RAM']
the Atheros SoC ) which require more than the 2MB of Flash Memory built-in for a dd-wrt solution .,"['SoC', 'Flash Memory', 'dd-wrt']","['Architecture', 'Device', 'Protocol']","['SoC', 'Flash Memory', 'dd - wrt']"
"As orders increased for supercomputer applications , Weitek found themselves seriously disadvantaged by their fab , which was becoming rather outdated . HP approached them with a deal to use their newer fabs .","['supercomputer', 'fab', 'fabs']","['Architecture', 'Algorithm', 'Algorithm']","['supercomputer', 'f', 'f']"
"The Core i5-2xxx line of desktop processors are mostly quad-core chips , with the exception of the dual-core Core i5-2390T , and include integrated graphics , combining the key features of the earlier Core i5-6xx and Core i5-7xx lines .","['desktop', 'quad-core', 'dual-core']","['Device', 'Architecture', 'Architecture']","['quad - core chips', 'dual - core', 'Core', 'Core', 'Core']"
"From the mid-1970s and in the 1980s , general-purpose minicomputers served as routers .",['minicomputers'],['Architecture'],"['minicomputers', 'routers']"
Lokalise is a cloud-based localization and translation management system for agile teams .,"['Lokalise', 'cloud-based', 'translation management system']","['Protocol', 'Architecture', 'Protocol']","['Lok', 'cloud', 'localization']"
"By the late 2010s , MIPS machines were still commonly used in embedded markets , including automotive , wireless router , LTE modems ( mainly via MediaTek ) , and microcontrollers ( for example the Microchip Technology PIC32M ) .","['router', 'MediaTek']","['Protocol', 'Architecture']","['MI', 'mode', 'MediaTek', 'microcontrollers']"
A COM solution offers a dense package computer system for use in small or specialized applications requiring low power consumption or small physical size as is needed in embedded systems .,['embedded systems'],['Architecture'],['embedded systems']
"At that time , roughly 17% ( around half a million ) of the Internet 's secure web servers certified by trusted authorities were believed to be vulnerable to the attack .",['trusted authorities'],['Architecture'],['trusted authorities']
"-C comment Provides custom key comment ( which will be appended at the end of the public key ) . -t Specifies the type of key to create ( e.g. , rsa ) .",['rsa'],['Architecture'],"['C', 'public key', 'r']"
"After the first general-purpose microprocessor , the Intel 8080 , was announced in April 1974 , Sord announced the SMP80/x , the first microcomputer to use the 8080 , in May 1974 .","['microprocessor', 'Intel 8080', 'microcomputer', '8080']","['Architecture', 'General_Concept', 'Architecture', 'General_Concept']","['microprocessor', 'Intel 8080', 'microcomputer', '8080']"
"The Clipper was a load/store architecture , where arithmetic operations could only specify register or immediate operands .",['load/store architecture'],['Architecture'],"['Clipper', 'Clipper', 'load / store architecture']"
"Cloud projects are saved in the Citavi Cloud , and local projects are saved on the hard drive of the computer .","['Cloud', 'Citavi', 'Cloud']","['Architecture', 'Application', 'Architecture']","['Citavi', 'Citavi']"
"By N-Wire based in-circuit emulator vendors : Instruction set simulator , in other words , Virtual Platform is provided to perform debugging without equipment 's hardware before testing on a real machine .","['in-circuit emulator', 'Instruction set simulator', 'hardware']","['Application', 'Application', 'Architecture']","['in - circuit emulator', 'Instruction set simulator', 'hardware']"
"Using the HSB signal , which requests a non-volatile hardware STORE cycle , is optional . SONOS is a cross-sectional structure of MOSFET used in Non-volatile memory such as EEPROM and flash memories .","['non-volatile', 'SONOS', 'MOSFET', 'Non-volatile memory', 'EEPROM', 'flash memories']","['General_Concept', 'Algorithm', 'Architecture', 'General_Concept', 'General_Concept', 'Device']","['non - volatile', 'SONOS', 'MOSFET', 'Non - volatile memory', 'EEPROM', 'flash memories']"
"The Xperia S has a touch-screen with the mobile BRAVIA engine which optimizes the picture , a 1.5GHz dual core processor , a 12.0-megapixel rear camera , HDMI-out , 1GB of RAM , and 32GB of internal storage .","['Xperia S', 'RAM']","['Application', 'Architecture']","['Xperia S', 'dual core processor', 'RAM']"
"The internal slots were reserved for ROM and RAM modules ; they did not have the control lines necessary for a fully functional expansion card , nor room to route a cable outside the case to communicate with external devices .","['ROM', 'RAM']","['Device', 'Architecture']","['ROM', 'RAM', 'expansion card']"
This was the first of what later came to be called reduced instruction set computer ( RISC ) design .,"['reduced instruction set computer', 'RISC']","['Architecture', 'Architecture']","['reduced instruction set computer', 'RISC', 'reduced instruction set computer', 'RISC']"
"In July 2007 , the company was purchased by Xandros and in July 2011 sold to Sebring Software Inc , a collaborative integration software company offering on-premises and cloud solutions .",['cloud'],['Architecture'],"['collaborative integration', 'on premises', 'cloud']"
"Buffer credits , also called buffer-to-buffer credits ( BBC ) are used as a flow control method by Fibre Channel technology and represent the number of frames a port can store .","['Buffer credits', 'Fibre Channel']","['Architecture', 'Architecture']",['Fibre Channel']
"Thus , the memory mapped at the first megabyte of virtual memory may be mapped again in the second megabyte of virtual memory . The operating system may intercept changes to Gate A20 and make corresponding changes to the virtual-memory address space , which also makes irrelevant the efficiency of Gate-A20 line toggling .","['virtual memory', 'virtual memory', 'operating system', 'address space']","['Architecture', 'Architecture', 'General_Concept', 'General_Concept']","['virtual memory', 'virtual-memory address space', 'virtual memory', 'virtual memory', 'operating system memory']"
"Also , is the coefficient of temperature , which is made up of the thermal expansion coefficient of the optical fiber , , and the thermo-optic coefficient , .",['optical fiber'],['Architecture'],['optical fiber']
"Second , some non-stopping computations of inductive Turing machines give results , while others do not give .",['Turing machines'],['Architecture'],['Turing machines']
They are commonly deployed by autonomous systems ( AS ) to offer access to their routing infrastructure in order to facilitate debugging network issues .,"['autonomous systems', 'routing']","['Architecture', 'Protocol']","['autonomous systems', 'routing']"
The Federal Enterprise Architecture Practice Guidance ( 2006 ) has defined three types of architecture : Solution architecture .,"['Federal Enterprise Architecture', 'Solution architecture']","['Library', 'Architecture']","['Solution architecture', 'Federal Enterprise Architecture', 'Solution architecture']"
"Unlike video encoding on a CPU or a general-purpose GPU , Quick Sync is a dedicated hardware core on the processor die .","['general-purpose GPU', 'Quick Sync', 'core']","['Architecture', 'Algorithm', 'Architecture']","['GPU', 'Quick Sync', 'hardware core']"
"The judge said Angela van den Bogerd ( Head of Partnerships , Post Office ) "" did not give me frank evidence , and sought to obfuscate matters , and mislead me. """,['Angela van den Bogerd'],['Architecture'],[]
"Perspective projection is usually categorized into one-point , two-point and three-point perspective , depending on the orientation of the projection plane towards the axes of the depicted object .","['Perspective projection', 'projection']","['Architecture', 'Application']","['Perspective projection', 'perspective', 'projection']"
"An Altix 4700 system contains up to 2048 dual-core Itanium 2 and Itanium ( "" Montvale "" revision ) microprocessor sockets , connected by the NUMAlink 4 interconnect in a fat tree network topology .","['Altix', 'dual-core', 'Itanium 2', 'Itanium', 'Montvale', 'NUMAlink 4', 'fat tree']","['Architecture', 'Architecture', 'General_Concept', 'General_Concept', 'General_Concept', 'Architecture', 'Protocol']","['Itanium 2', 'Itanium', 'Altix', 'Itani', 'Itanium', 'MontvaleUM', 'fat tree']"
"However , a precise determination of concurrency is generally overkill .",['concurrency'],['Architecture'],['concurrency']
"The address unit , also known as the "" A-box "" , executed load and store instructions . To enable the address unit and integer unit to operate in parallel , the address unit has its own displacement adder , which it uses to calculate virtual addresses , instead of using the adder in the integer unit . A 32-entry fully associative translation lookaside buffer ( TLB ) is used to translate virtual addresses into physical addresses .","['load and store instructions', 'integer unit', 'integer unit', 'translation lookaside buffer']","['General_Concept', 'General_Concept', 'General_Concept', 'Architecture']","['load and store instructions', 'translation lookaside bufferB']"
"Accordingly , a Turing machine can be simulated by an FSM plus two stacks .","['Turing machine', 'stacks']","['Architecture', 'Application']",['Turing machine']
"Beyond loading an OS , UEFI can run UEFI applications , which reside as files on the EFI System Partition .","['UEFI', 'UEFI', 'EFI System Partition']","['Architecture', 'Architecture', 'Device']","['UEFI', 'UEFI', 'EFI System Partition']"
"For this reason , modern online transaction processing software uses client or server processing and brokering software that allows transactions to run on different computer platforms in a network .","['online transaction processing', 'network']","['General_Concept', 'Architecture']","['online transaction processing software', 'client or server processing and brokering software', 'transactions', 'computer platforms', 'network', 'online', 'transaction processing software', 'client', 'computer platforms', 'network']"
"The notepads can be used to copy text from the PC DOS session to the mainframe sessions but not vice versa . More useful were the specialized PC DOS file transfer utilities that were available ( called simply and ) , which allow files to be exchanged with the mainframe and provide ASCII/EBCDIC conversion .","['PC DOS', 'mainframe', 'PC DOS', 'mainframe']","['Operating_System', 'Architecture', 'Operating_System', 'Architecture']","['PC DOS', 'PC DOS', 'main', 'PC DOS', 'file', 'mainframe', 'E']"
Some engineers argue the OSI reference model is still relevant to cloud computing .,['cloud computing'],['Architecture'],"['reference model', 'cloud computing']"
"The covariance matrix is a positive semidefinite matrix , i.e.","['matrix', 'positive semidefinite matrix']","['Architecture', 'Algorithm']","['matrix', 'positive semidefinite matrix']"
"The need for the HPI specification was first identified by an industry group called the “ High Availability Forum , ” which met for several months in 2000 to discuss issues relating to building high-availability computer systems using open architecture technology .","['high-availability', 'open architecture']","['General_Concept', 'Architecture']",['open architecture']
"When used in a SAVE statement so that when the BASIC program being saved is loaded again , it starts automatically at the line number indicatedLIST[number]CommandOutputs the current BASIC program to the screen ; if the optional number is provided , it omits all lines with a lower numberLLIST[number] then CommandAs LIST except the listing is output to the printerLNnumber then FunctionReturns the natural logarithm of numberLOAD""[filename]"" [ CODE [ address[  , length ] ]| DATA variable( ) ] CommandLoads a program or data into RAM from tape , ZX Microdrive , disk , etc. , deleting any existing BASIC program and variables ; if an empty string ("""" ) is provided , this loads the first program found , else it will search the tape for the program named in the string ; if the optional CODE is provided , will load the program into memory at the address it had when it was saved , or at the specified address ( length is intended as a safety , to try and load the right program in case there are multiple on the tape with the right name but of different lengths ) ; if the optional DATA variable( ) is provided , will load the data from the tape into the array named variable( ) LPRINTtext then CommandAs PRINT except output is sent to the printerMERGE""[filename]"" then CommandAs LOAD , except it does not delete the current program and variables ; if a line number exists in both , that of the newly loaded program overwrites the existing one .","['RAM', 'ZX Microdrive']","['Architecture', 'Device']","['##SICSIC', 'RAM', 'ZX MicrodriveSIC']"
The PCW 8256 's RAM could be expanded to 512KB for a hardware cost of about £50 .,['RAM'],['Architecture'],"['PCW 8256', 'RAM']"
"In the context of software state machines ( and especially classical FSMs ) , the term state is often understood as a single state variable that can assume only a limited number of a priori determined values ( e.g. , two values in case of the keyboard , or more generally - some kind of variable with an enum type in many programming languages ) .",['state machines'],['Architecture'],"['software state machines', 'state', 'state', 'enum']"
"The equipment installed in the aircraft is considerably simpler , consisting of the transponder itself , usually mounted in the instrument panel or avionics rack , and a small L band UHF antenna , mounted on the bottom of the fuselage .","['transponder', 'L band']","['Architecture', 'Algorithm']","['transponder', 'L band']"
"Paging also allows for pages to be moved out of primary storage and onto a slower and larger secondary storage , such as a hard disk drive .","['Paging', 'hard disk drive']","['Architecture', 'Device']","['hard disk drive', 'Paging', 'hard disk drive']"
The GENIVI software baselines are compatible with both ARM and x86 architectures .,"['GENIVI', 'ARM', 'x86 architectures']","['Application', 'Architecture', 'Operating_System']","['ARM', 'x86', 'GENIVI', 'ARM', 'x86 architecture']"
"For instance , the transfer matrix of a two-port network can be defined as follows ,","['matrix', 'two-port network']","['Architecture', 'Algorithm']","['matrix', 'two', '- port network']"
"Graham Barlow of TechRadar commended the improved screen , more color variants , greater quality earphones and the iPod 's light weight while criticizing the "" reset "" of the lightning port .","['the iPod', 'lightning port']","['Device', 'Architecture']","['iPod', 'the iPod', 'lightning port']"
The microprocessor was manufactured by LSI Logic Corp . with technology licensed from SGI .,['microprocessor'],['Architecture'],['microprocessor']
Shared memory is one of the fastest techniques for inter-process communication . IBM System/360 does not support virtual memory .,"['Shared memory', 'inter-process communication', 'IBM System/360', 'virtual memory']","['Operating_System', 'Operating_System', 'Application', 'Architecture']","['Shared memory', 'inter - process communication', 'IBM System / 360', 'virtual memory']"
"Unlike most other systems where RAID cards or similar hardware can offload resources and processing to enhance performance and reliability , with ZFS it is strongly recommended that these methods not be used as they typically reduce the system 's performance and reliability .","['RAID', 'hardware', 'ZFS']","['Architecture', 'Architecture', 'Application']","['RAID', 'hardware', 'ZFS']"
The move to Apache Spark enabled efficient support for large climate change forecast datasets published by the Intergovernmental Panel on Climate Change ( IPCC ) .,['Apache Spark'],['Language'],['Apache Spark']
All programming was done in machine code ( assemblers and compilers were never developed ) .,"['machine code', 'compilers']","['Language', 'Language']","['machine code', 'assemble', 'compiler']"
Clojure treats code as data and has a Lisp macro system .,"['Clojure', 'Lisp']","['Language', 'Language']","['Clojure', 'Lisp', 'Clojure', 'Lisp']"
"DRL ( formerly DoomRL ) , short for Doom , the Roguelike , is a roguelike video game developed by ChaosForge based on the first-person shooters Doom and Doom II .","['DRL', 'DoomRL', 'Doom', 'Doom', 'Doom II']","['Language', 'Language', 'Application', 'Application', 'Application']","['DRL', 'DoomRL', 'Doom', 'Doom', 'Doom II']"
The user interface of EKA2 is almost fully compatible with EKA1 .,"['user interface', 'EKA2', 'EKA1']","['Application', 'Language', 'Language']","['EKA2', 'EKA1', 'EKA2', 'EKA1']"
"Oxygene supports polymorphic delegates , which means , that delegates which have parameters of descending types are assignment compatible .",['Oxygene'],['Language'],['Oxygene']
"Others The framework supports a number of open or common standards , including DTD , RDF , XSLT/XPath , MathML , SVG , JavaScript , SQL , LDAP , etc .","['DTD', 'MathML', 'SVG', 'JavaScript', 'SQL', 'LDAP']","['Language', 'Language', 'Application', 'Language', 'Language', 'Protocol']","['JavaScript', 'framework', 'D', 'MathML', 'SVG', 'JavaScript', 'SQL', 'LDAP']"
"Python 2.7.9 and later ( on the python2 series ) , and Python 3.4 and later include pip by default .","['Python', 'Python', 'pip']","['Language', 'Language', 'Application']","['Python', 'Python']"
"Additionally , the Plexians have sent a flying saucer that creates large lightning bolts that destroy some of the wedges it hits .","['flying saucer', 'lightning bolts']","['Language', 'Architecture']",['flying saucer']
Another factor was recognition of the growth of complexity in languages such as C++ and Ada .,"['C++', 'Ada']","['Language', 'Language']","['C++', 'Ada', 'C + +', 'Ada']"
"Coral 66 is a general-purpose programming language based on ALGOL 60 , with some features from Coral 64 , JOVIAL , and Fortran .","['Coral 66', 'general-purpose programming language', 'ALGOL 60', 'Coral 64', 'JOVIAL', 'Fortran']","['Language', 'Language', 'Language', 'Language', 'Language', 'Application']","['Coral 66', 'ALGOL 60', 'Coral 64', 'JOVIAL', 'Fortran', 'Coral 66', 'ALGOL 60', 'Coral 64', 'JOVIAL', 'Fortran']"
"A java-1.7.0-openjdk package using the IcedTea 2.x OpenJDK forest , but not its build system , first appeared in Fedora 16 .","['IcedTea', 'OpenJDK']","['Language', 'Language']","['IcedTea', 'OpenJDK']"
"Version 4 of the .NET framework includes PLINQ , or Parallel LINQ , a parallel execution engine for LINQ queries .","['.NET framework', 'PLINQ', 'Parallel', 'LINQ', 'parallel', 'LINQ', 'queries']","['Application', 'Library', 'Operating_System', 'Language', 'Operating_System', 'Language', 'Language']","['PLINQ', 'LINQ', 'LINQ', '. NET framework', 'PLINQ', 'LINQ', 'parallel', 'LINQ', 'que']"
"It has dynamic typing , prototype-based object-orientation , and first-class functions .","['prototype-based', 'object-orientation', 'first-class functions']","['Application', 'Language', 'Application']","['prototype', 'object - orientation']"
"One important change to this trend came in 1990 when Terence Parr created ANTLR for his Ph.D. thesis , a parser generator for efficient LL(k ) parsers , where k is any fixed value .","['ANTLR', 'parser generator', 'parsers']","['Application', 'Language', 'Language']","['parser generator', 'parser']"
"Many early Verilog codebases will only simulate properly in Verilog-XL , due to variation in language implementation of other simulators .",['Verilog'],['Language'],"['Verilog', 'Verilog', 'Verilog XL']"
Main function looks like entry point for application programmers ( the application 's entry point or main entry point ) .,"['Main function', 'entry point', 'entry point', 'entry point']","['Language', 'Language', 'Language', 'Language']","['Main function', 'entry point', 'entry point', 'entry point']"
"The name DRAKON is the Russian acronym for "" Дружелюбный Русский Алгоритмический [язык], Который Обеспечивает Наглядность "" , which translates to "" Friendly Russian Algorithmic [ language ]  that illustrates ( or provides clarity ) "" .",['DRAKON'],['Language'],['DRAKON']
"In natural language processing ( NLP ) , a text graph is a graph representation of a text item ( document , passage or sentence ) .","['natural language processing', 'NLP', 'text graph', 'graph representation']","['Language', 'Language', 'General_Concept', 'Application']","['natural language processing', 'NLP', 'text graph', 'graph representation', 'natural language processing', 'NLP', 'text graph']"
"For all of O32 and N32/N64 , the return address is stored in a register .",['return address'],['Language'],['address']
Sun Java System Web Server 6.1 SP12 .,['Sun Java System Web Server'],['Language'],['Sun Java System Web Server']
"For instance , the universal quantifier in the first order formula expresses that everything in the domain satisfies the property denoted by .",['quantifier'],['Language'],"['universal quantifier', 'domain']"
Sony Ericsson Satio and then Sony Ericsson Vivaz are the latest additions by Sony Ericsson to the Symbian OS family of phones .,"['Sony Ericsson Satio', 'Sony Ericsson Vivaz', 'Symbian OS']","['Language', 'Language', 'Operating_System']","['Symbian OS', 'Sony Ericsson Satio', 'Sony Ericsson Vivaz', 'Symbian OS']"
It serves as the second spin-off video game and the third game in The Lego Movie franchise .,['Lego'],['Language'],['Lego']
"The repository has an emphasis on Extreme Programming , and it is hosted by Cunningham & Cunningham ( C2 ) of Portland , Oregon .",['Cunningham & Cunningham'],['Language'],['Extreme Programming']
"This may result in desktop interfaces reminiscent of those of Microsoft Windows or of the Apple Macintosh ( examples include GNOME 2 , KDE , Xfce ) or have radically different controls ( such as a tiling window manager , like wmii or Ratpoison ) .","['Macintosh', 'GNOME', 'Xfce', 'window manager']","['Device', 'Application', 'Language', 'Application']","['GNOME 2', 'KDE', 'Xfce', 'wmii', 'Ratpoison', 'Microsoft Windows', 'Apple Macintosh', 'GNOME 2', 'KDE', 'Xfce', 'window manager', 'wmii', 'Ratpoison']"
However the existence of an applicative term ) provides a good starting point to build a λ-calculus algebra .,['λ-calculus'],['Language'],['λ - calculus']
"The Perl programming language specifies , in some constructs , aliasing behaviour , such as in loops .","['Perl programming language', 'aliasing']","['Language', 'Error_Name']","['Perl', 'Perl programming language', 'aliasing']"
"Dependencies for NConf are : Nagios , Apache web server , PHP , Perl , and MySQL .","['NConf', 'Nagios', 'Apache web server', 'PHP', 'Perl', 'MySQL']","['Protocol', 'Application', 'Application', 'Application', 'Language', 'Application']","['NConf', 'Nagios', 'Apache web server', 'PHP', 'Perl', 'MySQL', 'PHP', 'Perl', 'NConf', 'Nagios', 'Apache web server', 'PHP', 'Perl', 'MySQL']"
"There are also several companies that have ported their own or other companies ' games to Linux , with Linux also being a supported platform on both the Steam and Desura digital-distribution services .","['Linux', 'Linux', 'Steam', 'Desura']","['Operating_System', 'Operating_System', 'Application', 'Language']","['Steam', 'Desura', 'Linux', 'Linux', 'Linux', 'Steam', 'Desura']"
"There is a wide variety of kinds of model transformation and uses of them , which differ in their inputs and outputs and also in the way they are expressed .",['model transformation'],['Language'],['model transformation']
"RedBeanPHP has been developed by Gabor de Mooij , a software developer from the Netherlands .",['RedBeanPHP'],['Language'],"['RedBeanPHP', 'software developer']"
"Class and interface types Most types in a GObject application will be classes in the normal object-oriented sense of the word derived directly or indirectly from the root class , GObject .","['GObject', 'object-oriented', 'GObject']","['Language', 'Language', 'Language']","['GObject', 'object oriented', 'GObject']"
"A BASIC interpreter is an interpreter that enables users to enter and run programs in the BASIC language and was , for the first part of the microcomputer era , the default application that computers would launch .","['BASIC interpreter', 'interpreter', 'microcomputer', 'application']","['Language', 'Application', 'Architecture', 'Application']","['BASIC', 'BASIC interpreter', 'interpreter', 'microcomputer']"
"several database choices : MySQL , PostgreSQL , SQLite or Oracle ,","['MySQL', 'PostgreSQL', 'SQLite', 'Oracle']","['Application', 'Application', 'Language', 'General_Concept']","['MySQL', 'PostgreSQL', 'SQLite', 'Oracle', 'MySQL', 'PostgreSQL', 'SQLite', 'Oracle']"
Supports testing of front-end code through a front-end extension of Jasmine called Jasmine-jQuery .,['Jasmine'],['Language'],"['front end', 'front end', 'Jasmine', 'j']"
"The JEP process is not intended to replace the Java Community Process , which is still required to approve changes in the Java API or language but rather to allow for OpenJDK committers to work more informally before becoming a formal Java Specification Request .","['Java Community Process', 'Java API', 'language', 'OpenJDK committers', 'Java Specification Request']","['Language', 'Library', 'Language', 'Language', 'Language']","['Java Community Process', 'Java', 'API', 'OpenJDK', 'Java Specification Request']"
"Due to the increasing popularity of compositing window managers like Compiz , the Direct Rendering Infrastructure had to be redesigned so that X clients could also support redirection to "" offscreen pixmaps "" while doing direct rendering .","['compositing window managers', 'Compiz', 'Direct Rendering Infrastructure', 'X']","['Operating_System', 'Language', 'Application', 'Operating_System']","['Compiz', 'X clients', 'Compiz', 'Direct Rendering Infrastructure', 'X']"
"The game was later ported to the PC Engine CD-ROM by NEC Home Electronics , to the Sega CD by Sega , to DoJa mobile phones by Bothtec , and to the Super Famicom and Microsoft Windows by Falcom .","['Sega CD', 'DoJa', 'Super Famicom', 'Microsoft Windows']","['Device', 'Language', 'Application', 'Application']","['PC Engine CD-ROM', 'Sega CD', 'DoJa mobile phones', 'Super Famicom', 'PC Engine', 'CD - ROM', 'Sega CD', 'Super Famicom', 'Microsoft Windows']"
"Since then , the need for a memory model has been more widely accepted , with similar semantics being provided for languages such as C++ .","['memory model', 'semantics', 'C++']","['General_Concept', 'Application', 'Language']","['C++', 'memory model', 'C + +']"
Mode 3 — indexed addressing . The contents of the address field of the instruction is sign extended to the left and added to the current value of accumulator 3 .,"['indexed addressing', 'accumulator']","['Language', 'General_Concept']","['indexed addressing', 'acculator']"
